B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
OTU272	0	1	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	14	12	14	11	1
OTU207	1	0	0	0	14	0	0	1	5	0	1	0	0	3	0	9	4	1	0	0	1	29	0	1	1	1	0	0	0	0	0	4	2	0	2	0	0	1	1	1	0	0	4	9	26
OTU33	4	4	6	70	605	28	64	41	39	23	6	38	200	167	116	13	229	22	147	2048	39	102	184	87	152	42	29	87	146	35	39	217	25	72	1391	542	9	362	1169	441	75	1041	33	9	10
OTU10	779	969	429	533	1164	1994	378	381	397	643	3440	969	656	1638	1821	1776	2167	1146	1139	767	1187	422	894	1494	270	1461	2890	1440	779	2319	1111	1481	3181	1277	2610	739	570	735	891	5192	2289	4760	2097	1007	859
OTU20	284	508	255	287	420	319	434	119	161	529	2452	431	2295	918	1847	1062	779	571	685	1002	1147	190	286	899	178	653	875	461	293	1480	1870	261	326	521	1117	317	433	207	594	1165	703	987	2839	2355	371
OTU297	0	0	0	0	0	0	0	110	0	0	0	1	0	0	0	2	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	2	222	0	0	0	0	1	0	0	0	0
OTU219	1	11	0	0	2	1	0	3	2	0	0	9	1	0	0	1	1	0	1	2	2	0	0	0	1	0	1	1	3	1	0	13	1	1	2	1	3	0	2	2	3	1	50	1	33
OTU291	3	6	20	10	2	24	2	1	3	5	7	3	6	11	10	7	13	37	5	4	2	2	9	2	31	6	12	2	0	6	2	10	6	9	14	3	31	5	13	22	4	27	12	1	6
OTU63	7	4	0	26	1	0	0	138	1	0	1	9	1	0	0	1	2	3	0	0	0	1	0	0	6	0	1	1	0	0	0	110	36	5	0	21	0	31	1	0	0	1	75	70	113
OTU90	5	6	19	15	13	4	3	28	10	11	6	31	54	18	12	26	24	48	31	12	12	16	21	30	45	84	31	12	20	30	23	8	15	32	22	79	81	15	21	44	26	34	56	22	54
OTU226	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	2	0	0	2	0	0	7	0	0	0	4	1	0	0	2	11	0	19	0	0	0	0	1	0
OTU204	12	173	3	10	103	5	8	1	1	0	13	0	0	1	0	1	2	10	2	2	0	0	0	0	3	2	1	16	2	5	2	11	33	2	0	0	0	2	0	0	3	0	34	298	27
OTU221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	1	2	0	0	0	0	0
OTU143	2	0	0	145	1	0	0	5	0	2	0	7	0	0	0	10	14	0	3	0	38	0	1	0	1	0	1	1	1	1	1	0	0	0	1	2	2	4	1	1	0	0	1	1	3
OTU56	181	2	16	73	73	68	12	4	138	7	18	8	48	960	42	14	41	48	180	100	170	14	15	48	140	9	124	2	1	21	6	73	25	69	3	0	108	11	404	66	22	96	165	20	44
OTU47	30	45	93	35	57	48	19	11	35	305	274	29	31	29	54	38	46	28	19	10	22	65	4	2	38	64	187	42	46	40	45	70	59	73	20	220	196	281	360	227	142	329	83	450	143
OTU155	17	0	0	1	232	148	0	0	12	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	2	0	0	1	1	0	1	1	1	15	1	123
OTU146	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	69	0	0
