B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
Dialister	0.000165862	4.19e-05	1.57e-05	0.000371944	0.000887516	0.012212896	0.000313586	0.000766885	0.000877273	0.000198823	0.000811107	0.000461421	0	0	3.41e-05	0.00020195	0.000341445	3.26e-05	0.000614493	1.65e-05	0.000122839	5.28e-05	0	1.94e-05	0.000334206	0	3.08e-05	0.000800721	4.56e-05	0.000292907	6.57e-05	5.63e-05	0.000116876	4.92e-05	2.88e-05	0	0.000254797	0.000813026	0.00031091	0	8.14e-05	3.96e-05	0	1.22e-05	1.32e-05
Salinicoccus	0	0	0	0.013448701	0	0	0	5.35e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59e-05	0	0	7.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41e-05	0	0	1.63e-05	0	0	0	0	0	0	0	0	3.08e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetragenococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28e-05	0	0	0	0	0.068033551	0	0	0	0	0	0	0	0	1.64e-05	0	0	0	0	0	1.59e-05	0	3.27e-05	0	0	1.98e-05	0	0	0
Ezakiella	0	0	4.72e-05	1.96e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-05	0	0	0	0	1.3e-05	0	0	0	0	0	0	0	0	0	0	1.22e-05	1.32e-05
Clostridium_XlVb	0.00031099	0.000481857	0.001195815	0.000528552	0.00119979	0.000268047	0.001358873	0.000517201	0.001119279	0.000218705	0.001622213	0.000381174	0.00025916	0.00024192	0.000204311	0.004240944	0.000637363	8.15e-05	0.001481085	0.000675575	0.001289807	0.000105506	0.000136288	0.000408179	0.000501309	0.000951913	0.000322918	0.00050045	0.000121677	0.000277491	8.22e-05	0.001083485	0.000129862	0.000491844	5.77e-05	9.66e-05	0.000127399	0.000101628	0.000130909	0.000229508	9.77e-05	5.94e-05	0.001056426	0.000815651	0.000712965
Olsenella	4.15e-05	2.1e-05	3.15e-05	0.000137032	0.001594241	5.03e-05	0	8.92e-05	3.03e-05	0.000238588	1.89e-05	4.01e-05	0.00025916	3.23e-05	5.11e-05	0.000165232	0.000273156	0.000358715	0.00012605	4.94e-05	0.001474066	5.28e-05	7.79e-05	1.94e-05	0.000334206	0.000618743	0.000184525	6.01e-05	0.003209223	0.000277491	0.000378016	9.85e-05	7.79e-05	3.28e-05	0.000129719	0.000115967	0.000143324	0.002190655	0.000114546	0.000123581	0.000130251	0	0.000158464	6.09e-05	0.000316874
Abiotrophia	0	0	6.29e-05	0	1.64e-05	0	2.61e-05	0.000142676	0	1.99e-05	0	2.01e-05	0.000178172	4.84e-05	1.7e-05	3.67e-05	0	3.26e-05	0	0	0	7.03e-05	3.89e-05	1.94e-05	0.000139252	0.000174517	4.61e-05	0	4.56e-05	3.08e-05	1.64e-05	0	6.49e-05	0	1.44e-05	0.000135294	0.000191098	4.52e-05	1.64e-05	1.77e-05	4.88e-05	0	5.28e-05	4.87e-05	5.28e-05
Odoribacter	0.001492754	0.000230453	0	0.000137032	0.000262968	0	0	1.78e-05	3.03e-05	1.99e-05	1.89e-05	2.01e-05	0	1.61e-05	0	0	6.83e-05	0	0	0	0	0	0	0	0	0	1.54e-05	0	0	0	0	0	2.6e-05	0	5.77e-05	0	1.59e-05	2.26e-05	0	1.77e-05	0	0	0	1.22e-05	3.96e-05
Anaerotruncus	0	0	1.57e-05	0	0	0	0	0	0	0	5.66e-05	0	0	3.23e-05	0	0	2.28e-05	1.63e-05	1.58e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6e-05	0	0	0	0	0	0	0	0	0	0	0	1.32e-05
